Ticker,Entry Z,Window,Strategy Return,Buy Hold Return,Sharpe,Max Drawdown,Trades,Closed Trades,Win Rate,Avg Trade Return
QQQ,-2.0,50,0.20305797368187184,0.9676154222425752,0.32411417832957884,-0.211203066114513,11,11,0.7272727272727273,0.019022192311438233
AAPL,-2.0,10,0.18363574817029948,1.4212020645162462,0.3130542679762684,-0.2348950988643589,23,23,0.6956521739130435,0.008932158555814746
MSFT,-1.0,10,0.18942574193799633,0.6656148040092991,0.29248806346840456,-0.1799177097945236,63,63,0.6349206349206349,0.004284548117484258
SPY,-1.5,20,0.13665306602891314,0.811657600778533,0.27647064073706357,-0.12488774112423906,27,27,0.7777777777777778,0.00600160733167404
QQQ,-2.0,20,0.15340773886853287,1.0243439035534858,0.274572140825407,-0.15939820834282414,20,20,0.7,0.008751417681922374
MSFT,-1.5,10,0.1600036042901425,0.6655145185615134,0.27329255759729476,-0.18473943361453082,49,49,0.6530612244897959,0.004546246960068337
SPY,-1.0,20,0.12750931632334184,0.8116084776523005,0.258293490732086,-0.17198656913109722,35,34,0.7647058823529411,0.004827079525491518
SPY,-2.0,50,0.1073032008571666,0.7578809923521777,0.24282855679699336,-0.14593081541928554,8,8,0.625,0.014215945225613202
SPY,-1.5,10,0.10520948420856291,0.8936793743958065,0.23682500344616197,-0.17381887768787518,45,44,0.6818181818181818,0.003077865282160182
SPY,-1.0,10,0.10696979748522106,0.8936920985278782,0.23445431748959572,-0.17267433917108455,57,56,0.6607142857142857,0.002678651491411723
SPY,-1.0,50,0.1080860531234682,0.7579528188211793,0.23315464891559712,-0.16824398467786195,15,15,0.6666666666666666,0.008418303879542559
QQQ,-1.5,50,0.11482390687473432,0.9676154222425752,0.22043846624122304,-0.23122618200260536,13,13,0.6923076923076923,0.010288030000541041
QQQ,-1.0,50,0.11249311125844907,0.9676155897444776,0.2163920865344687,-0.24178397419245123,16,16,0.75,0.00860019547536791
MSFT,-2.0,50,0.10458153450666363,0.46696462485861767,0.2162686976204561,-0.2156370448705911,8,8,0.5,0.015845310669548723
QQQ,-2.5,20,0.05709558510741242,1.0243440808531243,0.1732073810306807,-0.10860313983601211,7,7,0.8571428571428571,0.00907262544899328
MSFT,-2.5,10,0.020790346391955428,0.6655145185615134,0.15352362776871192,-0.04289155948114076,2,2,1.0,0.011409074361868776
SPY,-1.5,50,0.05242062906182188,0.7579528188211793,0.14830339466454462,-0.1473961930060126,10,10,0.6,0.006647675882717219
AAPL,-1.0,20,0.051369480309378934,1.2570062255937304,0.14714511216502613,-0.19577540867724574,31,31,0.6129032258064516,0.0032450186702605525
MSFT,-1.5,50,0.04811193394637936,0.4666817135337742,0.1433979767894103,-0.24915108953994047,13,13,0.5384615384615384,0.005898642366736855
