Ticker,Entry Z,Window,Strategy Return,Buy Hold Return,Outperformance,Sharpe,Sortino,Profit Factor,Max Drawdown,Trades,Closed Trades,Win Rate,Avg Trade Return,Exposure Time,Return Per Exposure,Score
AMZN,-1.0,10,-0.05459645866926033,0.20858071776391052,-0.26317717643317085,0.05473280512426981,0.046032735269469625,1.016848086638575,-0.40462567336542266,48,48,0.6458333333333334,0.00125635852436181,0.34062140391254314,-0.1602848735932001,-999.0
GOOGL,-2.5,50,0.4010652904991683,0.24297067758671376,0.15809461291245452,0.8169423930444395,0.4937562394923939,1.4278449499760968,-0.14031389207079525,5,5,0.8,0.07277284867688912,0.14595898673100122,2.7477944282959545,-999.0
GOOGL,-2.5,20,0.3114833478781749,0.3724898775852583,-0.06100652970708342,0.9114127155710533,0.4395136711346046,1.6599698307143513,-0.102492001901486,7,7,0.7142857142857143,0.041141254044939415,0.09080325960419092,3.430310202914772,-999.0
GOOGL,-2.5,10,0.05295831259191175,0.43129809663523955,-0.3783397840433278,0.6316876200274555,0.10070949437376414,2.4231807141159143,-0.027872621799443276,2,2,1.0,0.02715838636845791,0.01380897583429229,3.8350644701976093,-999.0
META,-2.0,50,-0.04031210808058261,0.6221489767420698,-0.6624610848226524,0.12537063031939544,0.06767875930192252,1.0525620780879057,-0.45829417262273975,7,7,0.7142857142857143,0.0066910181129594525,0.24849215922798554,-0.1622268815475873,-999.0
TSLA,-1.0,10,-0.5434281932052742,0.7186792558834267,-1.262107449088701,-0.3877818421534195,-0.3491113308593074,0.8971677364403611,-0.779025933862371,40,40,0.6,-0.013431635595664949,0.36478711162255467,-1.4897132488813354,-999.0
AMD,-1.5,50,0.15830822429791236,0.32173421214756037,-0.163425987849648,0.29966747179225256,0.23522755085913238,1.0980374124560075,-0.2968400178077307,9,8,0.625,0.019890003988500146,0.28347406513872137,0.5584575231615716,-999.0
AMD,-1.5,20,-0.02855070318739439,0.5001056191821842,-0.5286563223695786,0.12709877231514244,0.1072638040327717,1.0365602783533667,-0.4885977954184526,22,22,0.5909090909090909,0.004691423388610025,0.3492433061699651,-0.0817501801265726,-999.0
MSFT,-2.5,10,-0.00044826102400297163,0.7107288826605311,-0.7111771436845341,0.013942880900954783,0.0015320222837961494,1.023143981120594,-0.042891499817194645,1,1,1.0,0.0005532471556082275,0.00805523590333717,-0.05564840426551176,-999.0
MSFT,-2.0,50,0.2522512951732474,0.5064983792235784,-0.25424708405033103,0.606979054666741,0.36498813601410546,1.301648499769529,-0.13274049343207073,5,5,0.8,0.04890556233192571,0.14234016887816647,1.7721722347340856,-999.0
AAPL,-2.5,50,0.47327946732248916,0.6137511258544992,-0.14047165853201005,0.9895085854497075,0.5491011535314138,1.5439495192419501,-0.1398717137891461,5,5,1.0,0.08275415158665908,0.1411338962605549,3.3534075077807137,-999.0
AAPL,-2.5,20,0.07350325467502561,0.7450374031144495,-0.6715341484394239,0.36660963464098906,0.1420209067216977,1.2784578934826638,-0.055054490932581635,4,4,0.75,0.019051484606428665,0.06169965075669383,1.191307467280132,-999.0
AAPL,-2.5,10,-0.02531649506191358,0.8721093280722827,-0.8974258231341963,-0.30952136326832985,-0.07986919796488466,0.7217674951994167,-0.04969152189123438,2,2,0.5,-0.011665960359103944,0.023014959723820484,-1.100001710440145,-999.0
AAPL,-2.0,50,0.457055637392906,0.6137511258544992,-0.1566954884615932,0.86720734803807,0.584558226209708,1.3652938743710406,-0.1398717137891463,8,8,0.75,0.04977702598105452,0.19903498190591074,2.2963583236286005,-999.0
AAPL,-1.5,10,-0.05934546757689951,0.8721093280722827,-0.9314547956491822,-0.04058278439567955,-0.03277226142679201,0.9863114693914983,-0.19823863739770353,28,28,0.5714285714285714,-0.0007730771889518888,0.25891829689298046,-0.22920538366366966,-999.0
QQQ,-2.5,50,0.15337702401939368,0.42605784967427507,-0.2726808256548814,0.560882461833697,0.264947237027274,1.3388038114217893,-0.14178663556863147,4,4,0.75,0.0382599797307806,0.0856453558504222,1.7908387734095403,-999.0
QQQ,-2.5,20,0.00447306849043394,0.4671726438786603,-0.46269957538822637,0.056778268191573555,0.013376136731272534,1.0506904816854037,-0.05626831019544287,2,2,1.0,0.003231708941901612,0.03259604190919674,0.13722735118866983,-999.0
QQQ,-2.5,10,0.0,0.5375103599622217,-0.5375103599622217,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-999.0
QQQ,-2.0,50,0.16197249169605366,0.42605784967427507,-0.2640853579782214,0.3720603131108642,0.2770400985323146,1.130485349319155,-0.21120308337949467,8,8,0.75,0.021182216639719684,0.2316043425814234,0.699349977166815,-999.0
QQQ,-1.5,50,0.0871413996190269,0.42605784967427507,-0.3389164500552482,0.23823388448107516,0.18728131848858423,1.0771077794714903,-0.23122582526760382,9,9,0.6666666666666666,0.011445684696870474,0.25814234016887816,0.3375711228232397,-999.0
SPY,-2.5,50,0.03707931175904866,0.4158622458496568,-0.37878293409060815,0.22162928030876408,0.10919750134544555,1.1259861989800461,-0.09024324074180745,2,2,1.0,0.01938580822911462,0.08082026537997587,0.4587873051977812,-999.0
SPY,-2.5,20,0.15065323804859765,0.4591160700990746,-0.308462832050477,1.0307653341743264,0.4740915046700623,1.9262426990827932,-0.03439889365629478,6,6,1.0,0.024812930023351793,0.0640279394644936,2.352929663340825,-999.0
SPY,-2.5,10,0.019274695222785354,0.5252290274454612,-0.5059543322226758,0.27483212982798166,0.04646732667292263,1.4990385162355955,-0.03034849590044497,1,1,1.0,0.020284391445975825,0.00805523590333717,2.392815735514353,-999.0
SPY,-2.0,50,0.13336987905368058,0.4158622458496568,-0.2824923667959762,0.4235258447338522,0.3063869970824168,1.1628422181385183,-0.12156493411214853,6,6,0.6666666666666666,0.022425009074398723,0.1942098914354644,0.6867306194751628,-999.0
SPY,-1.5,50,0.0673008332234808,0.4158622458496568,-0.348561412626176,0.23297208907701092,0.1720839820587362,1.0810917788064573,-0.14545758075080395,7,7,0.7142857142857143,0.010872575675203722,0.22316043425814233,0.30158049049873287,-999.0
MSFT,-2.5,20,0.10570666484794677,0.5984671336808551,-0.49276046883290836,0.4766739801965512,0.15075780510796258,1.3637803504505854,-0.07400462593379065,4,4,1.0,0.026531916019021273,0.05587892898719441,1.8917088563413809,-999.0
MSFT,-2.5,50,0.0995893348569803,0.5064983792235784,-0.40690904436659814,0.3641904191952124,0.17464385015615785,1.207001359823931,-0.13149062954025037,3,3,0.6666666666666666,0.03462069412370594,0.09650180940892641,1.0319944824554583,-999.0
NVDA,-1.0,50,0.16245995030757165,5.962028563745385,-5.799568613437813,0.30255348342285615,0.25426960750432503,1.0973936489026008,-0.5028972653945591,9,9,0.6666666666666666,0.02648622563573043,0.2569360675512666,0.6322971774881545,-999.0
TSLA,-2.0,10,-0.02849997687988637,0.7186792558834267,-0.7471792327633131,0.1164659561338726,0.07998738622578815,1.0470117053280543,-0.5465082366880551,19,19,0.5263157894736842,0.0052665439541524275,0.1956271576524741,-0.1456851759330662,-999.0
